controller,time_s,tilt_rad,tilt_deg,tilt_rate_rad_s,tilt_rate_deg_s,x_m,x_dot_m_s,command_accel_m_s2,command_motor_rpm,target_tilt_deg,kp,ki,kd,expert_balance,expert_recovery,expert_drift
PID normal,0.2500000000000001,0.023664880489881995,1.3558977747517225,-0.6472265943992364,-37.08335224770181,0.04234793581663903,0.2820865732878803,0.308422355004909,8.662401592777877,-6.093573976155341,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.2550000000000001,0.02042074363048417,1.1700224245454012,-0.650680068957135,-37.28122176452521,0.04376204735184557,0.2835579794861445,0.26740430397133386,7.510361784897445,-6.137664926034873,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.2600000000000001,0.017160436496353917,0.9832205858433449,-0.6536960468363566,-37.454024568109425,0.04518300231557774,0.2848239532578145,0.2261950812660285,6.352952697628483,-6.177706809980709,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.2650000000000001,0.013886150322149876,0.7956178071434163,-0.6562728612208354,-37.60166515692866,0.046609771284640354,0.28588359021569154,0.18482113772714892,5.190917233613601,-6.2136708751547145,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.27000000000000013,0.010600083976157082,0.6073400743180531,-0.6584091249780734,-37.72406405414515,0.048041320645075374,0.28673611843630553,0.1433090158446504,4.025000869643093,-6.245530981862822,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.27500000000000013,0.007304442556127384,0.41851373016185006,-0.6601037330379574,-37.82115794390536,0.049476613255543284,0.2873808988850054,0.10168532913749373,2.855951077439729,-6.273263618921193,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.28000000000000014,0.0040014359747771525,0.22926539334654736,-0.6613558641510713,-37.89289977208381,0.05091460911257195,0.2878174257378414,0.05997674230276884,1.684516766123726,-6.296847916971972,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.28500000000000014,0.0006932775379623248,0.03972187695646192,-0.6621649820594164,-37.93925881336044,0.05235426601716654,0.2880453266041255,0.018209952120514794,0.5114477459023536,-6.3162656598213065,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.29000000000000015,-0.0026178174816129185,-0.14998989323198622,-0.6625308361121536,-37.96022070650003,0.05379454024229346,0.28806436265347174,-0.02358833090382695,-0.6625057875231837,-6.33150129387088,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.29500000000000015,-0.0059296332724598395,-0.33974296057229575,-0.6624534613586851,-37.955787459685425,0.05523438720076992,0.2878744286510288,-0.06539140017933676,-1.8365937483955932,-6.342541935712558,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.30000000000000016,-0.00923995491160805,-0.5294104193263168,-0.661933178151111,-37.925977427739895,0.05667276211310922,0.28747555290451515,-0.1071725699738566,-3.010066636800233,-6.349377377953899,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.30500000000000016,-0.01254656978877386,-0.7188654962630869,-0.660970591287791,-37.87082526305692,0.05810862067488942,0.28686789712655686,-0.14890519168644367,-4.182175995695948,-6.352000093340278,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.31000000000000016,-0.01584726902517812,-0.9079816319511046,-0.6595665887294178,-37.79038184203657,0.059540919723230404,0.2860517562157076,-0.19056266947385492,-5.3521748498031245,-6.350405237237107,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.31500000000000017,-0.019139848884953695,-1.0966325616260215,-0.6577223399186432,-37.68471416880716,0.060968617901980854,0.2850275579594008,-0.23211847525873885,-6.519318127126254,-6.3445906485332095,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.3200000000000002,-0.022422112177236858,-1.2846923955245613,-0.6554392937338949,-37.553905257987644,0.062390676325232625,0.28379586266194456,-0.2735461631489913,-7.682863063938357,-6.334556849023789,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.3250000000000002,-0.02569186964718897,-1.4720356985841914,-0.6527191761075609,-37.39805399821956,0.06380605923879504,0.2823573627005215,-0.3148193832994093,-8.842069594101718,-6.320307041328613,13.5,0.25,2.25,1.0,0.0,0.0
